"analysis","drug","position","n_missed","cyp","weight","regimen","delay","scattered","challenge_pack","N","n_esc","escape_prob","escape_lo","escape_hi"
"main","LNG","start",0,"normal",70,"21/7",NA,FALSE,2,600,10,0.0166666666666667,0.00907763185432056,0.0304055703629497
"main","LNG","start",1,"normal",70,"21/7",NA,FALSE,2,600,19,0.0316666666666667,0.020364748182018,0.0489275960354059
"main","LNG","start",2,"normal",70,"21/7",NA,FALSE,2,600,29,0.0483333333333333,0.0338606799133779,0.0685529331931056
"main","LNG","start",3,"normal",70,"21/7",NA,FALSE,2,600,64,0.106666666666667,0.0844206258311507,0.133917428387042
"main","LNG","start",4,"normal",70,"21/7",NA,FALSE,2,600,103,0.171666666666667,0.143605667646266,0.203905335239259
"main","LNG","start",5,"normal",70,"21/7",NA,FALSE,2,600,158,0.263333333333333,0.229676349033064,0.300001632742288
"main","LNG","start",6,"normal",70,"21/7",NA,FALSE,2,600,221,0.368333333333333,0.330688604722061,0.407653371054367
"main","LNG","start",7,"normal",70,"21/7",NA,FALSE,2,600,288,0.48,0.440278088758447,0.519976388574682
"main","LNG","mid",0,"normal",70,"21/7",NA,FALSE,2,600,10,0.0166666666666667,0.00907763185432056,0.0304055703629497
"main","LNG","mid",1,"normal",70,"21/7",NA,FALSE,2,600,15,0.025,0.0152077029716296,0.0408361336901705
"main","LNG","mid",2,"normal",70,"21/7",NA,FALSE,2,600,24,0.04,0.0270248359701591,0.0588281426917947
"main","LNG","mid",3,"normal",70,"21/7",NA,FALSE,2,600,45,0.075,0.0565219951087372,0.0988856482202418
"main","LNG","mid",4,"normal",70,"21/7",NA,FALSE,2,600,68,0.113333333333333,0.0903894435133259,0.14119711826049
"main","LNG","mid",5,"normal",70,"21/7",NA,FALSE,2,600,98,0.163333333333333,0.135912013575303,0.195038354865692
